mediamatch_userevent.phone_no,mediamatch_userevent.run_name,mediamatch_userevent.run_time,mediamatch_userevent.owner_name,mediamatch_userevent.owner_code,mediamatch_userevent.open_time,mediamatch_userevent.sm_name
2025511,正常,2000/1/1 0:00,HC级,00,1999-11-19 00:00:00,模拟有线电视
2048925,正常,2007/4/24 14:35,HC级,00,2007-04-24 14:35:44,模拟有线电视
2048683,正常,2009/2/28 13:25,HC级,00,2007-06-07 15:12:41,互动电视
2024079,正常,2007/10/15 14:00,HC级,00,2005-10-10 15:31:31,模拟有线电视
2032295,主动销户,1994/9/1 0:00,HC级,00,1994-09-01 00:00:00,模拟有线电视
2032785,主动暂停,2001/4/1 0:00,HC级,00,2001-03-01 00:00:00,模拟有线电视
2032757,主动销户,1994/5/1 0:00,HC级,00,1994-05-01 00:00:00,模拟有线电视
2038844,正常,2009/1/25 12:14,HC级,00,2007-09-02 09:44:00,甜果电视
2034355,正常,1994/8/1 0:00,HC级,00,1994-08-01 00:00:00,模拟有线电视
2031858,正常,1994/3/16 0:00,HC级,00,1994-03-16 00:00:00,模拟有线电视
2033303,正常,1994/5/1 0:00,HC级,00,1994-05-01 00:00:00,模拟有线电视
2014478,正常,1998/3/1 0:00,HC级,00,1998-02-01 00:00:00,模拟有线电视
2014478,正常,1998/3/1 0:00,HC级,00,1998-02-01 00:00:00,模拟有线电视
2047667,正常,2018/2/4 15:44,HC级,00,2007-07-12 10:13:13,甜果电视
2018825,正常,2009/2/28 17:28,HC级,00,2007-06-15 14:22:20,数字电视
2042889,正常,2009/2/28 13:55,HC级,00,2007-04-24 13:51:12,数字电视
2042889,正常,2009/2/28 13:55,HC级,00,2007-04-24 13:51:12,数字电视
2030541,欠费暂停,2009/10/28 10:25,HC级,00,2008-01-30 11:45:17,数字电视
2017009,正常,2007/4/20 17:51,HC级,00,2005-12-16 11:07:34,模拟有线电视
2015633,正常,1999/7/1 0:00,HC级,00,1999-06-01 00:00:00,模拟有线电视
2020139,正常,2009/3/1 8:02,HC级,00,2007-07-10 10:58:19,数字电视
2021995,欠费暂停,2015/4/17 10:12,HC级,00,2007-04-26 11:08:50,数字电视
2043790,欠费暂停,2011/6/20 10:14,HC级,00,2007-07-02 13:47:34,数字电视
2035524,主动暂停,2013/1/29 11:07,HC级,00,2007-06-11 09:47:04,数字电视
2031341,正常,2001/9/1 0:00,HC级,00,2001-08-27 00:00:00,模拟有线电视
2038874,正常,2017/11/23 7:44,HC级,00,2007-09-18 09:39:31,互动电视
2038733,正常,2012/6/21 10:16,HC级,00,2007-05-31 15:36:06,互动电视
2025884,被动销户,1994/7/1 0:00,HC级,00,1994-07-01 00:00:00,模拟有线电视
2013580,主动销户,1998/4/1 0:00,HC级,00,1998-03-31 00:00:00,模拟有线电视
2041598,欠费暂停,2018/3/22 12:20,HC级,00,2007-09-29 11:33:02,甜果电视
2025712,主动销户,1998/1/1 0:00,HC级,00,1998-01-01 00:00:00,模拟有线电视
2024597,主动销户,1998/3/1 0:00,HC级,00,1998-02-19 00:00:00,模拟有线电视
2031102,主动销户,1996/6/1 0:00,HC级,00,1996-06-01 00:00:00,模拟有线电视
2038684,主动销户,2012/8/15 15:49,EE级,00,2007-11-16 16:45:05,数字电视
2046416,主动暂停,2015/9/18 9:15,HC级,00,2007-06-09 08:32:10,数字电视
2040644,欠费暂停,2013/6/1 14:26,HC级,00,2008-09-29 17:07:57,珠江宽频
2038903,欠费暂停,2016/5/16 10:11,HC级,00,2007-11-30 09:59:08,数字电视
2039650,主动暂停,2009/12/19 12:27,HC级,00,2007-12-18 09:20:46,数字电视
2021133,正常,2007/9/29 16:11,HC级,00,2007-09-29 16:10:45,模拟有线电视
2042726,正常,2004/9/1 9:36,HC级,00,2004-07-13 09:36:52,模拟有线电视
2024114,正常,2005/12/1 15:42,HC级,00,2005-11-10 15:45:51,模拟有线电视
2049534,主动暂停,2012/2/16 10:43,HC级,00,2007-05-06 14:42:12,数字电视
2035628,正常,2003/1/1 0:00,HC级,00,1999-01-01 00:00:00,模拟有线电视
2017496,正常,2009/6/26 9:04,HC级,00,2007-04-19 10:03:31,数字电视
2034410,正常,2002/7/1 0:00,HC级,00,2002-07-01 00:00:00,模拟有线电视
2049123,主动暂停,2011/12/26 14:59,HC级,00,2007-04-25 13:30:03,数字电视
