phone_no	owner_name	optdate	prodname	sm_name	offerid	offername	business_name	owner_code	prodprcid	prodprcname	effdate	expdate	orderdate	cost	mode_time	prodstatus	run_name	orderno	offertype
2017497	HE级	2017/11/24 9:37	标高清直播基本包_广州	互动电视	GD000300	互动标准包	正常状态	NULL	NULL	NULL	2017/12/1 0:00	2050/1/1 0:00	2017/11/24 9:37	NULL	N	YY	正常	2240733708	0
2017497	HE级	2015/12/7 16:08	直播A	互动电视	GZ122560	互动+联合宽带-59元包	正常状态	NULL	NULL	NULL	2015/12/7 16:08	2050/1/1 0:00	2015/12/7 16:08	NULL	N	YY	正常	2103971153	0
2017497	HE级	2015/12/7 16:08	所有基本节目_回看	互动电视	GZ122560	互动+联合宽带-59元包	正常状态	NULL	NULL	NULL	2015/12/7 16:08	2050/1/1 0:00	2015/12/7 16:08	NULL	N	YY	正常	2103971153	0
2017497	HE级	2015/12/7 16:08	七彩戏剧	互动电视	GZ122560	互动+联合宽带-59元包	正常状态	NULL	NULL	NULL	2015/12/7 16:08	2050/1/1 0:00	2015/12/7 16:08	NULL	N	YY	正常	2103971153	0
2017497	HE级	2017/11/24 9:37	应用类_点播	互动电视	GD000300	互动标准包	正常状态	NULL	NULL	NULL	2017/12/1 0:00	2050/1/1 0:00	2017/11/24 9:37	NULL	N	YY	正常	2240733708	0
2017497	HE级	2015/12/7 16:08	东方财经	互动电视	GZ122560	互动+联合宽带-59元包	正常状态	NULL	NULL	NULL	2015/12/7 16:08	2050/1/1 0:00	2015/12/7 16:08	NULL	N	YY	正常	2103971153	0
2017497	HE级	2015/12/7 16:08	互动空指令产品	互动电视	GZ122657	预存480元-加送300元-32.5节目专用	正常状态	NULL	NULL	预存480元-加送300元-32.5节目专用	2015/12/7 16:08	2017/11/30 23:59	2015/12/7 16:08	NULL	Y	YY	正常	2103971153	1
2017497	HE级	2016/9/24 8:55	院线大片_点播	互动电视	GZ123183	院线大片-次月起五折-首月	正常状态	NULL	NULL	NULL	2016/9/24 0:00	2016/10/31 0:00	2016/9/24 8:55	NULL	Y	YY	正常	2150977196	1
2017497	HE级	2015/12/7 16:08	宝贝家	互动电视	GZ122560	互动+联合宽带-59元包	正常状态	NULL	NULL	NULL	2015/12/7 16:08	2050/1/1 0:00	2015/12/7 16:08	NULL	N	YY	正常	2103971153	0
2017497	HC级	2017/12/1 0:34	标清直播基本包_广州	互动电视	GZ122560	互动+联合宽带-59元包	到期暂停状态	0	120972	互动+联合宽带-59元包	2015/12/7 16:08	2017/11/30 23:59	2015/12/7 16:08	59	Y	YD	正常	2103971153	0
2017497	HC级	2017/12/1 0:34	精彩点_点播	互动电视	GZ122560	互动+联合宽带-59元包	到期暂停状态	NULL	NULL	NULL	2015/12/7 16:08	2017/11/30 23:59	2015/12/7 16:08	NULL	N	YD	正常	2103971153	0
2017497	HE级	2016/10/1 17:43	院线大片_点播	互动电视	GZ122990	院线大片-包月-49元	正常状态	NULL	NULL	NULL	2016/11/1 0:00	2050/1/1 0:00	2016/10/1 17:43	NULL	Y	YY	正常	2151977272	1
2017497	HE级	2015/12/7 16:08	劲爆体育	互动电视	GZ122560	互动+联合宽带-59元包	正常状态	NULL	NULL	NULL	2015/12/7 16:08	2050/1/1 0:00	2015/12/7 16:08	NULL	N	YY	正常	2103971153	0
2017497	HC级	2017/12/1 0:34	专业频道-月享(空)	互动电视	GZ122657	预存480元-加送300元-32.5节目专用	到期暂停状态	0	121308	预存480元-加送300元-32.5节目专用	2015/12/7 16:08	2017/11/30 23:59	2015/12/7 16:08	480	N	YD	正常	2103971153	1
2017497	HE级	2015/12/7 16:08	应用类点播组	互动电视	GZ122560	互动+联合宽带-59元包	正常状态	NULL	NULL	NULL	2015/12/7 16:08	2050/1/1 0:00	2015/12/7 16:08	NULL	N	YY	正常	2103971153	0
